cOUnty,statE,statE_cOdE,pOpUlatIOn
Autauga County,Alabama,AL,55200
Baldwin County,Alabama,AL,208107
Barbour County,Alabama,AL,25782
Bibb County,Alabama,AL,22527
Blount County,Alabama,AL,57645
Bullock County,Alabama,AL,10352
Butler County,Alabama,AL,20025
Calhoun County,Alabama,AL,115098
Chambers County,Alabama,AL,33826
Cherokee County,Alabama,AL,25853
Chilton County,Alabama,AL,43930
Choctaw County,Alabama,AL,13075
Clarke County,Alabama,AL,24387
Clay County,Alabama,AL,13378
Cleburne County,Alabama,AL,14938
Coffee County,Alabama,AL,51288
Colbert County,Alabama,AL,54495
Conecuh County,Alabama,AL,12514
Coosa County,Alabama,AL,10855
Covington County,Alabama,AL,37351
Crenshaw County,Alabama,AL,13865
Cullman County,Alabama,AL,82313
Dale County,Alabama,AL,49255
Dallas County,Alabama,AL,40029
DeKalb County,Alabama,AL,71200
Elmore County,Alabama,AL,81212
Escambia County,Alabama,AL,37328
Etowah County,Alabama,AL,102939
Fayette County,Alabama,AL,16585
Franklin County,Alabama,AL,31542
Geneva County,Alabama,AL,26491
Greene County,Alabama,AL,8426
Hale County,Alabama,AL,14887
Henry County,Alabama,AL,17124
Houston County,Alabama,AL,104352
Jackson County,Alabama,AL,52094
Jefferson County,Alabama,AL,659892
Lamar County,Alabama,AL,13933
Lauderdale County,Alabama,AL,92585
Lawrence County,Alabama,AL,33171
Lee County,Alabama,AL,159287
Limestone County,Alabama,AL,93052
Lowndes County,Alabama,AL,10236
Macon County,Alabama,AL,19054
Madison County,Alabama,AL,357560
Marengo County,Alabama,AL,19538
Marion County,Alabama,AL,29965
Marshall County,Alabama,AL,95145
Mobile County,Alabama,AL,414659
Monroe County,Alabama,AL,21512
Montgomery County,Alabama,AL,226941
Morgan County,Alabama,AL,119122
Perry County,Alabama,AL,9486
Pickens County,Alabama,AL,20298
Pike County,Alabama,AL,33403
Randolph County,Alabama,AL,22574
Russell County,Alabama,AL,58213
St. Clair County,Alabama,AL,87306
Shelby County,Alabama,AL,211261
Sumter County,Alabama,AL,12985
Talladega County,Alabama,AL,80565
Tallapoosa County,Alabama,AL,40636
Tuscaloosa County,Alabama,AL,206213
Walker County,Alabama,AL,64493
Washington County,Alabama,AL,16643
Wilcox County,Alabama,AL,10809
Winston County,Alabama,AL,23875
Aleutians East Borough,Alaska,AK,3425
Aleutians West Census Area,Alaska,AK,5750
Anchorage Municipality,Alaska,AK,296112
Bethel Census Area,Alaska,AK,18040
Bristol Bay Borough,Alaska,AK,890
Denali Borough,Alaska,AK,2232
Dillingham Census Area,Alaska,AK,4975
Fairbanks North Star Borough,Alaska,AK,99653
Haines Borough,Alaska,AK,2518
Hoonah-Angoon Census Area,Alaska,AK,2132
Juneau City and Borough,Alaska,AK,32330
Kenai Peninsula Borough,Alaska,AK,58220
Ketchikan Gateway Borough,Alaska,AK,13804
Kodiak Island Borough,Alaska,AK,13649
Kusilvak Census Area,Alaska,AK,8198
Lake and Peninsula Borough,Alaska,AK,1375
Matanuska-Susitna Borough,Alaska,AK,103464
Nome Census Area,Alaska,AK,9925
North Slope Borough,Alaska,AK,9797
Northwest Arctic Borough,Alaska,AK,7734
Petersburg Borough,Alaska,AK,3255
Prince of Wales-Hyder Census Area,Alaska,AK,6474
Sitka City and Borough,Alaska,AK,8738
Skagway Municipality,Alaska,AK,1061
Southeast Fairbanks Census Area,Alaska,AK,6876
Valdez-Cordova Census Area,Alaska,AK,9301
Wrangell City and Borough,Alaska,AK,2484
Yakutat City and Borough,Alaska,AK,689
Yukon-Koyukuk Census Area,Alaska,AK,5415
Apache County,Arizona,AZ,71522
Cochise County,Arizona,AZ,126279
Coconino County,Arizona,AZ,140217
Gila County,Arizona,AZ,53400
Graham County,Arizona,AZ,37879
Greenlee County,Arizona,AZ,9504
La Paz County,Arizona,AZ,20701
Maricopa County,Arizona,AZ,4253913
Mohave County,Arizona,AZ,206064
Navajo County,Arizona,AZ,108705
Pima County,Arizona,AZ,1019722
Pinal County,Arizona,AZ,419721
Santa Cruz County,Arizona,AZ,46584
Yavapai County,Arizona,AZ,224645
Yuma County,Arizona,AZ,207829
Arkansas County,Arkansas,AR,18124
Ashley County,Arkansas,AR,20537
Baxter County,Arkansas,AR,41219
Benton County,Arkansas,AR,258980
Boone County,Arkansas,AR,37288
Bradley County,Arkansas,AR,10948
Calhoun County,Arkansas,AR,5202
Carroll County,Arkansas,AR,27887
Chicot County,Arkansas,AR,10826
Clark County,Arkansas,AR,22385
Clay County,Arkansas,AR,15061
Cleburne County,Arkansas,AR,25230
Cleveland County,Arkansas,AR,8226
Columbia County,Arkansas,AR,23892
Conway County,Arkansas,AR,20906
Craighead County,Arkansas,AR,105701
Crawford County,Arkansas,AR,62472
Crittenden County,Arkansas,AR,49013
Cross County,Arkansas,AR,16998
Dallas County,Arkansas,AR,7432
Desha County,Arkansas,AR,11887
Drew County,Arkansas,AR,18502
Faulkner County,Arkansas,AR,122416
Franklin County,Arkansas,AR,17780
Fulton County,Arkansas,AR,12139
Garland County,Arkansas,AR,98296
Grant County,Arkansas,AR,18086
Greene County,Arkansas,AR,44623
Hempstead County,Arkansas,AR,22018
Hot Spring County,Arkansas,AR,33520
Howard County,Arkansas,AR,13389
Independence County,Arkansas,AR,37264
Izard County,Arkansas,AR,13559
Jackson County,Arkansas,AR,17225
Jefferson County,Arkansas,AR,70424
Johnson County,Arkansas,AR,26291
Lafayette County,Arkansas,AR,6915
Lawrence County,Arkansas,AR,16669
Lee County,Arkansas,AR,9398
Lincoln County,Arkansas,AR,13695
Little River County,Arkansas,AR,12417
Logan County,Arkansas,AR,21757
Lonoke County,Arkansas,AR,72206
Madison County,Arkansas,AR,16076
Marion County,Arkansas,AR,16438
Miller County,Arkansas,AR,43759
Mississippi County,Arkansas,AR,42831
Monroe County,Arkansas,AR,7249
Montgomery County,Arkansas,AR,8993
Nevada County,Arkansas,AR,8440
Newton County,Arkansas,AR,7848
Ouachita County,Arkansas,AR,24106
Perry County,Arkansas,AR,10322
Phillips County,Arkansas,AR,19034
Pike County,Arkansas,AR,10808
Poinsett County,Arkansas,AR,24054
Polk County,Arkansas,AR,20163
Pope County,Arkansas,AR,63644
Prairie County,Arkansas,AR,8244
Pulaski County,Arkansas,AR,393463
Randolph County,Arkansas,AR,17603
St. Francis County,Arkansas,AR,26294
Saline County,Arkansas,AR,118009
Scott County,Arkansas,AR,10442
Searcy County,Arkansas,AR,7923
Sebastian County,Arkansas,AR,127461
Sevier County,Arkansas,AR,17193
Sharp County,Arkansas,AR,17043
Stone County,Arkansas,AR,12446
Union County,Arkansas,AR,39732
Van Buren County,Arkansas,AR,16684
Washington County,Arkansas,AR,228529
White County,Arkansas,AR,78804
Woodruff County,Arkansas,AR,6660
Yell County,Arkansas,AR,21573
Alameda County,California,CA,1643700
Alpine County,California,CA,1146
Amador County,California,CA,37829
Butte County,California,CA,227075
Calaveras County,California,CA,45235
Colusa County,California,CA,21464
Contra Costa County,California,CA,1133247
Del Norte County,California,CA,27424
El Dorado County,California,CA,186661
Fresno County,California,CA,978130
Glenn County,California,CA,27897
Humboldt County,California,CA,135768
Imperial County,California,CA,180216
Inyo County,California,CA,18085
Kern County,California,CA,883053
Kings County,California,CA,150075
Lake County,California,CA,64148
Lassen County,California,CA,31185
Los Angeles County,California,CA,10098052
Madera County,California,CA,155013
Marin County,California,CA,260295
Mariposa County,California,CA,17540
Mendocino County,California,CA,87422
Merced County,California,CA,269075
Modoc County,California,CA,8938
Mono County,California,CA,14174
Monterey County,California,CA,433212
Napa County,California,CA,140530
Nevada County,California,CA,99092
Orange County,California,CA,3164182
Placer County,California,CA,380077
Plumas County,California,CA,18699
Riverside County,California,CA,2383286
Sacramento County,California,CA,1510023
San Benito County,California,CA,59416
San Bernardino County,California,CA,2135413
San Diego County,California,CA,3302833
San Francisco County,California,CA,870044
San Joaquin County,California,CA,732212
San Luis Obispo County,California,CA,281455
San Mateo County,California,CA,765935
Santa Barbara County,California,CA,443738
Santa Clara County,California,CA,1922200
Santa Cruz County,California,CA,273765
Shasta County,California,CA,179085
Sierra County,California,CA,2930
Siskiyou County,California,CA,43540
Solano County,California,CA,438530
Sonoma County,California,CA,501317
Stanislaus County,California,CA,539301
Sutter County,California,CA,95872
Tehama County,California,CA,63373
Trinity County,California,CA,12862
Tulare County,California,CA,460477
Tuolumne County,California,CA,53932
Ventura County,California,CA,848112
Yolo County,California,CA,214977
Yuba County,California,CA,75493
Adams County,Colorado,CO,497115
Alamosa County,Colorado,CO,16444
Arapahoe County,Colorado,CO,636671
Archuleta County,Colorado,CO,12908
Baca County,Colorado,CO,3563
Bent County,Colorado,CO,5809
Boulder County,Colorado,CO,321030
Broomfield County,Colorado,CO,66120
Chaffee County,Colorado,CO,19164
Cheyenne County,Colorado,CO,2039
Clear Creek County,Colorado,CO,9379
Conejos County,Colorado,CO,8142
Costilla County,Colorado,CO,3687
Crowley County,Colorado,CO,5630
Custer County,Colorado,CO,4640
Delta County,Colorado,CO,30346
Denver County,Colorado,CO,693417
Dolores County,Colorado,CO,1841
Douglas County,Colorado,CO,328614
Eagle County,Colorado,CO,54357
Elbert County,Colorado,CO,25162
El Paso County,Colorado,CO,688153
Fremont County,Colorado,CO,47002
Garfield County,Colorado,CO,58538
Gilpin County,Colorado,CO,5924
Grand County,Colorado,CO,15066
Gunnison County,Colorado,CO,16537
Hinsdale County,Colorado,CO,878
Huerfano County,Colorado,CO,6583
Jackson County,Colorado,CO,1296
Jefferson County,Colorado,CO,570427
Kiowa County,Colorado,CO,1449
Kit Carson County,Colorado,CO,7635
Lake County,Colorado,CO,7585
La Plata County,Colorado,CO,55101
Larimer County,Colorado,CO,338161
Las Animas County,Colorado,CO,14179
Lincoln County,Colorado,CO,5548
Logan County,Colorado,CO,21689
Mesa County,Colorado,CO,149998
Mineral County,Colorado,CO,823
Moffat County,Colorado,CO,13060
Montezuma County,Colorado,CO,25909
Montrose County,Colorado,CO,41268
Morgan County,Colorado,CO,28257
Otero County,Colorado,CO,18325
Ouray County,Colorado,CO,4722
Park County,Colorado,CO,17392
Phillips County,Colorado,CO,4318
Pitkin County,Colorado,CO,17909
Prowers County,Colorado,CO,12052
Pueblo County,Colorado,CO,164685
Rio Blanco County,Colorado,CO,6465
Rio Grande County,Colorado,CO,11351
Routt County,Colorado,CO,24874
Saguache County,Colorado,CO,6468
San Juan County,Colorado,CO,544
San Miguel County,Colorado,CO,7968
Sedgwick County,Colorado,CO,2350
Summit County,Colorado,CO,30429
Teller County,Colorado,CO,24113
Washington County,Colorado,CO,4840
Weld County,Colorado,CO,295123
Yuma County,Colorado,CO,10069
Fairfield County,Connecticut,CT,944348
Hartford County,Connecticut,CT,894730
Litchfield County,Connecticut,CT,183031
Middlesex County,Connecticut,CT,163368
New Haven County,Connecticut,CT,859339
New London County,Connecticut,CT,268881
Tolland County,Connecticut,CT,151269
Windham County,Connecticut,CT,116538
Kent County,Delaware,DE,174822
New Castle County,Delaware,DE,555133
Sussex County,Delaware,DE,219540
District of Columbia,District of Columbia,,684498
Alachua County,Florida,FL,263148
Baker County,Florida,FL,27785
Bay County,Florida,FL,182482
Bradford County,Florida,FL,26979
Brevard County,Florida,FL,576808
Broward County,Florida,FL,1909151
Calhoun County,Florida,FL,14444
Charlotte County,Florida,FL,176954
Citrus County,Florida,FL,143087
Clay County,Florida,FL,207291
Collier County,Florida,FL,363922
Columbia County,Florida,FL,69105
DeSoto County,Florida,FL,36399
Dixie County,Florida,FL,16437
Duval County,Florida,FL,924229
Escambia County,Florida,FL,311522
Flagler County,Florida,FL,107139
Franklin County,Florida,FL,11736
Gadsden County,Florida,FL,46017
Gilchrist County,Florida,FL,17615
Glades County,Florida,FL,13363
Gulf County,Florida,FL,16055
Hamilton County,Florida,FL,14269
Hardee County,Florida,FL,27228
Hendry County,Florida,FL,40127
Hernando County,Florida,FL,182696
Highlands County,Florida,FL,102101
Hillsborough County,Florida,FL,1378883
Holmes County,Florida,FL,19430
Indian River County,Florida,FL,150984
Jackson County,Florida,FL,48472
Jefferson County,Florida,FL,14105
Lafayette County,Florida,FL,8744
Lake County,Florida,FL,335362
Lee County,Florida,FL,718679
Leon County,Florida,FL,288102
Levy County,Florida,FL,39961
Liberty County,Florida,FL,8365
Madison County,Florida,FL,18474
Manatee County,Florida,FL,373853
Marion County,Florida,FL,348371
Martin County,Florida,FL,157581
Miami-Dade County,Florida,FL,2715516
Monroe County,Florida,FL,76325
Nassau County,Florida,FL,80578
Okaloosa County,Florida,FL,200737
Okeechobee County,Florida,FL,40572
Orange County,Florida,FL,1321194
Osceola County,Florida,FL,338619
Palm Beach County,Florida,FL,1446277
Pasco County,Florida,FL,510593
Pinellas County,Florida,FL,957875
Polk County,Florida,FL,668671
Putnam County,Florida,FL,72766
St. Johns County,Florida,FL,235503
St. Lucie County,Florida,FL,305591
Santa Rosa County,Florida,FL,170442
Sarasota County,Florida,FL,412144
Seminole County,Florida,FL,455086
Sumter County,Florida,FL,120999
Suwannee County,Florida,FL,43924
Taylor County,Florida,FL,22098
Union County,Florida,FL,15239
Volusia County,Florida,FL,527634
Wakulla County,Florida,FL,31877
Walton County,Florida,FL,65858
Washington County,Florida,FL,24566
Appling County,Georgia,GA,18454
Atkinson County,Georgia,GA,8265
Bacon County,Georgia,GA,11228
Baker County,Georgia,GA,3189
Baldwin County,Georgia,GA,45286
Banks County,Georgia,GA,18510
Barrow County,Georgia,GA,76887
Bartow County,Georgia,GA,103620
Ben Hill County,Georgia,GA,17154
Berrien County,Georgia,GA,19025
Bibb County,Georgia,GA,153490
Bleckley County,Georgia,GA,12775
Brantley County,Georgia,GA,18561
Brooks County,Georgia,GA,15622
Bryan County,Georgia,GA,35885
Bulloch County,Georgia,GA,74782
Burke County,Georgia,GA,22550
Butts County,Georgia,GA,23750
Calhoun County,Georgia,GA,6428
Camden County,Georgia,GA,52714
Candler County,Georgia,GA,10827
Carroll County,Georgia,GA,116022
Catoosa County,Georgia,GA,66299
Charlton County,Georgia,GA,12983
Chatham County,Georgia,GA,287049
Chattahoochee County,Georgia,GA,10767
Chattooga County,Georgia,GA,24817
Cherokee County,Georgia,GA,241910
Clarke County,Georgia,GA,124602
Clay County,Georgia,GA,3001
Clayton County,Georgia,GA,278666
Clinch County,Georgia,GA,6743
Cobb County,Georgia,GA,745057
Coffee County,Georgia,GA,42961
Colquitt County,Georgia,GA,45606
Columbia County,Georgia,GA,147295
Cook County,Georgia,GA,17184
Coweta County,Georgia,GA,140516
Crawford County,Georgia,GA,12344
Crisp County,Georgia,GA,22846
Dade County,Georgia,GA,16227
Dawson County,Georgia,GA,23861
Decatur County,Georgia,GA,26833
DeKalb County,Georgia,GA,743187
Dodge County,Georgia,GA,20919
Dooly County,Georgia,GA,13905
Dougherty County,Georgia,GA,91049
Douglas County,Georgia,GA,141840
Early County,Georgia,GA,10348
Echols County,Georgia,GA,3994
Effingham County,Georgia,GA,58689
Elbert County,Georgia,GA,19212
Emanuel County,Georgia,GA,22499
Evans County,Georgia,GA,10727
Fannin County,Georgia,GA,24925
Fayette County,Georgia,GA,111369
Floyd County,Georgia,GA,96824
Forsyth County,Georgia,GA,219880
Franklin County,Georgia,GA,22514
Fulton County,Georgia,GA,1021902
Gilmer County,Georgia,GA,29922
Glascock County,Georgia,GA,3009
Glynn County,Georgia,GA,83974
Gordon County,Georgia,GA,56790
Grady County,Georgia,GA,24926
Greene County,Georgia,GA,16976
Gwinnett County,Georgia,GA,902298
Habersham County,Georgia,GA,44289
Hall County,Georgia,GA,195961
Hancock County,Georgia,GA,8535
Haralson County,Georgia,GA,28956
Harris County,Georgia,GA,33590
Hart County,Georgia,GA,25631
Heard County,Georgia,GA,11677
Henry County,Georgia,GA,221307
Houston County,Georgia,GA,151682
Irwin County,Georgia,GA,9268
Jackson County,Georgia,GA,65755
Jasper County,Georgia,GA,13784
Jeff Davis County,Georgia,GA,14991
Jefferson County,Georgia,GA,15772
Jenkins County,Georgia,GA,8827
Johnson County,Georgia,GA,9730
Jones County,Georgia,GA,28548
Lamar County,Georgia,GA,18513
Lanier County,Georgia,GA,10366
Laurens County,Georgia,GA,47418
Lee County,Georgia,GA,29348
Liberty County,Georgia,GA,62108
Lincoln County,Georgia,GA,7799
Long County,Georgia,GA,18156
Lowndes County,Georgia,GA,114582
Lumpkin County,Georgia,GA,31951
McDuffie County,Georgia,GA,21498
McIntosh County,Georgia,GA,14120
Macon County,Georgia,GA,13480
Madison County,Georgia,GA,28900
Marion County,Georgia,GA,8484
Meriwether County,Georgia,GA,21113
Miller County,Georgia,GA,5836
Mitchell County,Georgia,GA,22432
Monroe County,Georgia,GA,27010
Montgomery County,Georgia,GA,9036
Morgan County,Georgia,GA,18235
Murray County,Georgia,GA,39557
Muscogee County,Georgia,GA,196670
Newton County,Georgia,GA,106497
Oconee County,Georgia,GA,37017
Oglethorpe County,Georgia,GA,14784
Paulding County,Georgia,GA,155840
Peach County,Georgia,GA,26966
Pickens County,Georgia,GA,30832
Pierce County,Georgia,GA,19164
Pike County,Georgia,GA,18082
Polk County,Georgia,GA,41621
Pulaski County,Georgia,GA,11295
Putnam County,Georgia,GA,21503
Quitman County,Georgia,GA,2276
Rabun County,Georgia,GA,16457
Randolph County,Georgia,GA,7087
Richmond County,Georgia,GA,201463
Rockdale County,Georgia,GA,89011
Schley County,Georgia,GA,5211
Screven County,Georgia,GA,13990
Seminole County,Georgia,GA,8437
Spalding County,Georgia,GA,64719
Stephens County,Georgia,GA,25676
Stewart County,Georgia,GA,6042
Sumter County,Georgia,GA,30352
Talbot County,Georgia,GA,6378
Taliaferro County,Georgia,GA,1665
Tattnall County,Georgia,GA,25353
Taylor County,Georgia,GA,8193
Telfair County,Georgia,GA,16115
